,shopping,latitude,longitude,City
177,"810 S State College Blvd,Anaheim, CA 92806",33.831281,-117.888636,Anaheim
178,"2403 W Ball Rd,Anaheim, CA 92804",33.818042,-117.967874,Anaheim
179,"240 S Magnolia Ave,Anaheim, CA 92804",33.829023,-117.975482,Anaheim
180,"2585 W La Palma Ave,Anaheim, CA 92801",33.847191,-117.975725,Anaheim
181,"1701 N Kraemer Blvd,Anaheim, CA 92806",33.865178,-117.863061,Anaheim
182,"1201 N Magnolia Ave,Anaheim, CA 92801",33.851654,-117.977772,Anaheim
183,"8971 Katella Ave,Anaheim, CA 92804",33.803457,-117.97654,Anaheim
184,"2796 W Ball Rd,Anaheim, CA 92804",33.817081,-117.984328,Anaheim
185,"3020 W Lincoln Ave,Anaheim, CA 92801",33.831699,-117.994401,Anaheim
186,"3174 W Ball Rd,Anaheim, CA 92804",33.816972,-118.001624,Anaheim
187,"550 S Knott Ave,Anaheim, CA 92804",33.824857,-118.010355,Anaheim
188,"3450 W Ball Rd,Anaheim, CA 92804",33.816841,-118.010255,Anaheim
189,"1741 N Kellogg Dr,Anaheim, CA 92807",33.866002,-117.804987,Anaheim
190,"5600 E Santa Ana Canyon Rd,Anaheim, CA 92807",33.84989,-117.791572,Anaheim
191,"1447 S Harbor Blvd # D,Fullerton, CA 92832",33.884009,-117.935077,Anaheim
192,"1100 S Harbor Blvd,Fullerton, CA 92832",33.861399,-117.922672,Anaheim
193,"2251 W Ball Rd,Anaheim, CA 92804",33.818394,-117.961919,Anaheim
194,"137 Orangefair Mall,Fullerton, CA 92832",33.858282,-117.922687,Anaheim
195,"1048 N State College Blvd,Anaheim, CA 92806",33.847948,-117.887094,Anaheim
196,"1000 W Lincoln Ave,Anaheim, CA 92805",33.832395,-117.926078,Anaheim
197,"1721 W La Palma Ave,Anaheim, CA 92801",33.847415,-117.942625,Anaheim
198,"1021 N Moraga St,Anaheim, CA 92801",33.846429,-117.965457,Anaheim
199,"1739 S Claudina Way,Anaheim, CA 92805",33.805135,-117.901934,Anaheim
200,"10870 Katella Ave,Anaheim, CA 92804",33.801709,-117.942902,Anaheim
201,"9691 Rosebay St,Anaheim, CA 92804",33.822097,-117.964037,Anaheim
202,"2323 S Manchester Ave,Anaheim, CA 92802",33.793713,-117.893936,Anaheim
203,"9551 Harle Ave,Anaheim, CA 92804",33.809845,-117.966594,Anaheim
204,"4002 E Horseshoe Ln,Anaheim, CA 92807",33.845303,-117.831087,Anaheim
205,"3170 W Lincoln Ave # 176,Anaheim, CA 92801",33.82415,-117.897707,Anaheim
206,"5433 E La Palma Ave,Anaheim, CA 92807",33.861333,-117.796956,Anaheim
207,"8018 E Santa Ana Canyon Rd,Anaheim, CA 92808",33.866741,-117.75131,Anaheim
208,"609 N Olive St,Anaheim, CA 92805",33.841975,-117.912219,Anaheim
209,"500 S Citron St,Anaheim, CA 92805",33.828879,-117.921604,Long Beach
210,"500 N East St,Anaheim, CA 92805",33.842802,-117.903444,Anaheim
211,"859 S Harbor Blvd,Anaheim, CA 92805",33.823616,-117.9164,Anaheim
212,"1425 E Lincoln Ave,Anaheim, CA 92805",33.839343,-117.898247,Long Beach
213,"970 S Anaheim Blvd,Anaheim, CA 92805",33.821102,-117.908708,Anaheim
214,"1811 W La Palma Ave,Anaheim, CA 92801",33.847371,-117.945536,Anaheim
215,"944 S Nutwood St,Anaheim, CA 92804",33.818421,-117.949699,Anaheim
216,"1845 W Katella Ave,Anaheim, CA 92804",33.803539,-117.94805,Anaheim
217,"1863 W Katella Ave,Anaheim, CA 92804",33.803564,-117.948853,Anaheim
218,"1035 N Armando St,Anaheim, CA 92806",33.849141,-117.861384,Anaheim
219,"538 N Magnolia Ave,Anaheim, CA 92801",33.838819,-117.975519,Anaheim
220,"9562 Katella Ave,Anaheim, CA 92804",33.802724,-117.966547,Anaheim
221,"9041 Cerritos Ave,Anaheim, CA 92804",33.810606,-117.974865,Anaheim
222,"9029 Cerritos Ave,Anaheim, CA 92804",33.810665,-117.975088,Anaheim
223,"1217 S Western Ave,Anaheim, CA 92804",33.816568,-118.002392,Anaheim
224,"400 N Lakeview Ave,Anaheim, CA 92807",33.853143,-117.815535,Anaheim
225,"221 E Florence Ave,Anaheim, CA 92805",33.821855,-117.907138,Anaheim
226,"1150 N Harbor Blvd,Anaheim, CA 92801",33.850581,-117.923508,Anaheim
227,"1241 N East St,Anaheim, CA 92805",33.852836,-117.909665,Anaheim
228,"1200 S Harbor Blvd,Anaheim, CA 92805",33.817618,-117.914648,Anaheim
229,"135 W Ball Rd,Anaheim, CA 92805",33.818583,-117.910069,Anaheim
230,"1221 N Harbor Blvd,Anaheim, CA 92801",33.851549,-117.924533,Anaheim
231,"1606 E South St,Anaheim, CA 92805",33.830591,-117.893213,Anaheim
232,"1120 W La Palma Ave Ste 4,Anaheim, CA 92801",33.846736,-117.932642,Anaheim
233,"847 S State College Blvd,Anaheim, CA 92806",33.829893,-117.889656,Anaheim
234,"130 S Euclid St,Anaheim, CA 92802",33.82415,-117.897707,Long Beach
235,"2050 E Lincoln Ave,Anaheim, CA 92806",33.837699,-117.887823,Long Beach
236,"650 N Euclid St,Anaheim, CA 92801",33.840865,-117.940316,Anaheim
237,"2120 E Center St,Anaheim, CA 92806",33.841051,-117.887214,Anaheim
238,"1411 S Manchester Ave,Anaheim, CA 92802",33.812099,-117.913045,Anaheim
239,"1400 S Allec St,Anaheim, CA 92805",33.813485,-117.899478,Anaheim
240,"1151 N Euclid St Ste C,Anaheim, CA 92801",33.848639,-117.94259,Anaheim
241,"1763 W La Palma Ave,Anaheim, CA 92801",33.84741,-117.944404,Anaheim
242,"932 S Euclid St,Anaheim, CA 92802",33.818665,-117.940748,Anaheim
243,"2500 E Lincoln Ave,Anaheim, CA 92806",33.838102,-117.880124,Anaheim
244,"1827 W La Palma Ave,Anaheim, CA 92801",33.847386,-117.946199,Anaheim
245,"8111 E Wardlow Rd,Long Beach, CA 90808",33.818825,-118.070221,Long Beach
246,"3220 E Anaheim St,Long Beach, CA 90804",33.781672,-118.153509,Long Beach
247,"1701 Magnolia Ave,Long Beach, CA 90813",33.788057,-118.198315,Long Beach
248,"101 E Willow St,Long Beach, CA 90806",33.805316,-118.192328,Long Beach
249,"2038 E 10th St,Long Beach, CA 90804",33.778475,-118.167103,Long Beach
250,"2930 E 4th St,Long Beach, CA 90814",33.771437,-118.157298,Long Beach
251,"2080 N Bellflower Blvd,Long Beach, CA 90815",33.797395,-118.121307,Long Beach
252,"5324 Long Beach Blvd,Long Beach, CA 90805",33.852731,-118.195484,Long Beach
253,"2900 E Anaheim St,Long Beach, CA 90804",33.782305,-118.157636,Long Beach
254,"2222 N Bellflower Blvd,Long Beach, CA 90815",33.797395,-118.121307,Long Beach
255,"6820 Long Beach Blvd,Long Beach, CA 90805",33.878123,-118.203564,Long Beach
256,"1801 Ximeno Ave,Long Beach, CA 90815",33.790855,-118.139884,Long Beach
257,"2073 Pacific Ave,Long Beach, CA 90806",33.794834,-118.194069,Long Beach
258,"7420 Carson Blvd,Long Beach, CA 90808",33.826887,-118.085685,Long Beach
259,"4895 N Bellflower Blvd,Long Beach, CA 90808",33.846715,-118.125499,Long Beach
260,"4003 E Ocean Blvd,Long Beach, CA 90803",33.759894,-118.145568,Long Beach
261,"1500 W Willow St,Long Beach, CA 90810",33.803777,-118.212726,Long Beach
262,"3401 E Artesia Blvd,Long Beach, CA 90805",33.875482,-118.1523,Long Beach
263,"2238 N Bellflower Blvd,Long Beach, CA 90815",33.797395,-118.121307,Long Beach
264,"7480 Carson St.,Long Beach, CA 90808",33.797395,-118.121307,Long Beach
265,"2012 Long Beach Blvd,Long Beach, CA 90806",33.794561,-118.188744,Long Beach
266,"5545 E Stearns St,Long Beach, CA 90815",33.797395,-118.121307,Long Beach
267,"4580 Atlantic Ave,Long Beach, CA 90807",33.842188,-118.184132,Long Beach
268,"6274 E Pacific Coast Hwy,Long Beach, CA 90803",33.761779,-118.115957,Long Beach
269,"600 E Broadway,Long Beach, CA 90802",33.768923,-118.184342,Long Beach
270,"1033 Long Beach Blvd,Long Beach, CA 90813",33.779736,-118.189981,Long Beach
271,"998 E Anaheim St,Long Beach, CA 90813",33.782285,-118.180991,Long Beach
272,"2120 Pacific Ave,Long Beach, CA 90806",33.795799,-118.193146,Long Beach
273,"820 Carrack Ave,Long Beach, CA 90813",33.773503,-118.222324,Long Beach
274,"3210 E Anaheim St,Long Beach, CA 90804",33.781672,-118.153509,Long Beach
275,"6550 E Pacific Coast Hwy,Long Beach, CA 90803",33.754426,-118.108692,Long Beach
276,"6235 E Spring St,Long Beach, CA 90808",33.811155,-118.10996,Long Beach
277,"4700 Cherry Ave,Long Beach, CA 90807",33.845297,-118.166981,Long Beach
278,"6501 E Spring St,Long Beach, CA 90808",33.811121,-118.106371,Long Beach
279,"2232 Pine Ct,Carson, CA 90746",33.835289,-118.259285,Long Beach
280,"805 W Willow St,Long Beach, CA 90806",33.80469,-118.20155,Long Beach
281,"845 Pacific Ave,Long Beach, CA 90813",33.777374,-118.194128,Anaheim
282,"122 W Anaheim St,Long Beach, CA 90813",33.782324,-118.192918,Long Beach
283,"141 E Willow St,Long Beach, CA 90806",33.805671,-118.190179,Long Beach
284,"311 W Willow St,Long Beach, CA 90806",33.80463,-118.195111,Long Beach
285,"4102 Orange Ave,Long Beach, CA 90807",33.833069,-118.175717,Long Beach
286,"201 E Artesia Blvd,Long Beach, CA 90805",33.87457,-118.200358,Long Beach
287,"1840 E Artesia Blvd,Long Beach, CA 90805",33.874372,-118.17031,Long Beach
288,"3431 E Artesia Blvd,Long Beach, CA 90805",33.875482,-118.1523,Anaheim
289,"425 E Ocean Blvd,Long Beach, CA 90802",33.767024,-118.186904,Anaheim
290,"1262 Long Beach Blvd,Long Beach, CA 90813",33.782419,-118.188913,Long Beach
291,"340 W Pacific Coast Hwy,Long Beach, CA 90806",33.789594,-118.195978,Long Beach
292,"801 E Pacific Coast Hwy,Long Beach, CA 90806",33.790026,-118.18253,Anaheim
293,"2211 E Anaheim St,Long Beach, CA 90804",33.782885,-118.165149,Long Beach
294,"2201 Pacific Ave,Long Beach, CA 90806",33.797325,-118.194055,Long Beach
295,"3810 E 10th St,Long Beach, CA 90804",33.778817,-118.147775,Long Beach
296,"1600 Loma Ave,Long Beach, CA 90804",33.786815,-118.149907,Anaheim
297,"1410 W Willow St,Long Beach, CA 90810",33.804109,-118.211409,Long Beach
298,"2520 Santa Fe Ave,Long Beach, CA 90810",33.80269,-118.214863,Long Beach
299,"4360 E Stearns St,Long Beach, CA 90815",33.795789,-118.141721,Long Beach
300,"1850 W Wardlow Rd,Long Beach, CA 90810",33.824039,-118.217551,Long Beach
301,"359 E 52nd St,Long Beach, CA 90805",33.850706,-118.188624,Long Beach
302,"114 E Market St,Long Beach, CA 90805",33.854002,-118.193305,Long Beach
303,"905 E Market St,Long Beach, CA 90805",33.854495,-118.181678,Long Beach
304,"6405 Long Beach Blvd,Long Beach, CA 90805",33.870816,-118.202036,Long Beach
305,"3410 Long Beach Blvd,Long Beach, CA 90807",33.819526,-118.188916,Long Beach
306,"6290 E Pacific Coast Hwy,Long Beach, CA 90803",33.760067,-118.114621,Long Beach
307,"4200 Long Beach Blvd,Long Beach, CA 90807",33.834997,-118.189081,Long Beach
308,"2250 E Carson St,Long Beach, CA 90807",33.830685,-118.165091,Long Beach
309,"1785 Palo Verde Ave,Long Beach, CA 90815",33.788334,-118.108475,Long Beach
310,"1790 Palo Verde Ave,Long Beach, CA 90815",33.788217,-118.107489,Long Beach
311,"1190 N Studebaker Rd,Long Beach, CA 90815",33.781007,-118.102165,Long Beach
312,"4550 Atlantic Ave,Long Beach, CA 90807",33.841092,-118.182869,Long Beach
313,"4550 Orange Ave,Long Beach, CA 90807",33.84131,-118.175956,Long Beach
