,address,latitude,longitude,City
300,950 W 33rd Pl Chicago IL 60608,41.834087,-87.650233,Chicago
301,2110 W Greenleaf Ave Chicago IL 60645,42.010584,-87.68459,Chicago
302,7415 S East End Ave Chicago IL 60649,41.760074,-87.582564,Chicago
303,8300 S Saint Louis Ave Chicago IL 60652,41.741892,-87.709808,Chicago
304,8505 S Ingleside Ave Chicago IL 60619,41.740096,-87.600775,Chicago
305,1643 W Bryn Mawr Ave Chicago IL 60660,41.983255,-87.671177,Chicago
306,2989 N Milwaukee Ave Chicago IL 60618,41.935769,-87.718032,Chicago
307,3986 W Barry Ave Chicago IL 60618,41.937866,-87.726784,Chicago
308,3729 W Leland Ave Chicago IL 60625,41.966234,-87.721775,Chicago
309,3500 N Hoyne Ave Chicago IL 60618,41.945406,-87.681448,Chicago
310,231 N Pine Ave Chicago IL 60644,41.885376,-87.763006,Chicago
311,8045 S Kenwood Ave Chicago IL 60619,41.748485,-87.591321,Chicago
312,3212 W George St Chicago IL 60618,41.934262,-87.708005,Chicago
313,4707 W Marquette Rd Chicago IL 60629,41.770786,-87.739643,Chicago
314,2111 W 47th St Chicago IL 60609,41.807882,-87.677328,Chicago
315,401 Concord Dr Chicago  IL 60411,41.87897,-87.66063,Chicago 
316,6547 S Stewart Ave Chicago IL 60621,41.774674,-87.634383,Chicago
317,10354 S Charles St Chicago IL 60643,41.705398,-87.658567,Chicago
318,2828 N Kilbourn Ave Chicago IL 60641,41.932813,-87.73967,Chicago
319,7650 S Wolcott Ave Chicago IL 60620,41.754695,-87.671435,Chicago
320,1140 W 66th St Chicago IL 60621,41.774525,-87.653537,Chicago
321,4220 N Richmond St Chicago IL 60618,41.958525,-87.702397,Chicago
322,6445 W Strong St Chicago IL 60656,41.87897,-87.66063,Chicago
323,5255 S State St Chicago IL 60609,41.798643,-87.625082,Chicago
324,5025 N Laramie Ave Chicago IL 60630,41.97209,-87.756911,Chicago
325,25 W 47th St Chicago IL 60609,41.808856,-87.626698,Chicago
326,3151 W Walnut St Chicago IL 60612,41.885123,-87.705311,Chicago
